xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1460, 1455, 306, 271.353, 228.773, 0.239238, 0.041581, 15.2066, 8.14345, 3.22441, 13.7609, 0.707996, 0.115343, 0.289228, 0.85097, 19.2333, 16.9667, 20.3, 15.8333, 21.3667, 14.7667, 90.0666
1472.5, 1465, 248, 252.665, 212.028, 0.266098, 0.00490243, 13.7071, 7.53765, 3.31517, 13.843, 0.70332, 0.114172, 0.286179, 0.859715, 17.9667, 15.7667, 18.9667, 14.7, 20.0333, 13.6333, -7.59117
1487.5, 1480, 233, 240.393, 197.561, 0.587226, 0.005859, 11.6927, 7.25028, 3.21987, 13.9503, 0.717349, 0.123058, 4.41683, 0.868159, 17.1, 14.9667, 18.1, 13.9, 19.1, 12.9, -8.15195
1502.5, 1495, 243, 219.244, 181.499, 0.199757, 0.00675578, 10.7234, 7.16096, 3.17902, 14.1944, 0.74416, 0.145047, 0.515732, 0.87625, 15.6333, 13.5667, 16.6333, 12.6333, 17.5667, 11.6333, -7.78313
1515, 1510, 202, 204.946, 167.252, 0.211934, 0.00744332, 10.2387, 8.06579, 3.01565, 13.9314, 0.714231, 0.123915, 0.500923, 0.884645, 14.6333, 12.7, 15.6333, 11.7, 16.5, 10.7667, -9.28658
1525, 1520, 201, 190.863, 153.622, 0.204437, 0.00807107, 10.2084, 8.72984, 2.91127, 13.1822, 0.673391, 0.113969, 0.317977, 0.89228, 13.7, 11.7667, 14.5667, 10.8333, 15.5, 9.96667, 38.3731
1537.5, 1530, 190, 177.183, 139.595, 0.371433, 0.00816075, 9.9812, 9.99583, 2.70251, 12.5403, 0.679315, 0.123713, 0.284001, 0.901615, 12.7, 10.9, 13.6333, 10.0333, 14.5, 9.16667, -7.82682
1552.5, 1545, 169, 165.493, 127.248, 0.221915, 0.00789171, 9.76916, 11.6734, 2.43929, 12.1636, 0.642216, 0.127147, 0.289664, 0.910622, 11.9, 10.1667, 12.7667, 9.3, 13.6333, 8.43333, -8.04492
1567.5, 1560, 1805, 1776.61, 116.622, 1.17754, 0.00848957, 1173.06, 468.666, 2.33945, 12.736, 0.62694, 0.12994, 0.33148, 0.918617, 121.3, 115.633, 124.1, 112.833, 126.833, 110.1, -40.9874
1582.5, 1575, 112, 121.55, 104.289, 0.268405, 0.00780203, 0, 0, 2.20331, 12.7297, 0.616964, 0.120899, 0.38767, 0.927132, 8.9, 7.36667, 9.63333, 6.63333, 10.3, 5.9, -4.58508
1597.5, 1590, 118, 114.413, 94.7155, 1.04572, 0.00834011, 0, 0, 2.28046, 14.2807, 0.633487, 0.118287, 0.39464, 0.936283, 8.36667, 6.9, 9.1, 6.16667, 9.76667, 5.5, -7.51779
1612.5, 1605, 104, 106.566, 85.1862, 0.732087, 0.00720418, 0, 0, 2.03539, 15.1456, 0.576124, 1.3734, 0.564954, 0.944571, 7.83333, 6.36667, 8.5, 5.7, 9.16667, 5.03333, -7.32007
1627.5, 1620, 759, 780.104, 75.2524, 0.134768, 0.00765257, 0, 0, 113.775, 570.471, 18.8942, 0.163044, 0.452573, 0.953545, 53.9, 50.1, 55.7667, 48.2333, 57.5667, 46.4333, -26.5698
1642.5, 1635, 73, 72.0633, 67.6884, 0.201332, 0.00857925, 0, 0, 1.40912, 0.254637, 0.485715, 0.0833305, 0.970483, 0.961646, 5.43333, 4.23333, 5.96667, 3.63333, 6.5, 3.1, -4.71943
1657.5, 1650, 62, 63.3376, 59.4545, 0.406212, 0.00980486, 0, 0, 1.30474, 0.117848, 0.476674, 0.0790678, 0.517039, 0.971698, 4.76667, 3.63333, 5.3, 3.1, 5.83333, 2.63333, -4.31458
1672.5, 1665, 49, 55.9148, 52.3275, 0.164956, 0.00986464, 0, 0, 1.31155, 0.115744, 0.479168, 0.0772569, 0.448652, 0.980095, 4.23333, 3.16667, 4.76667, 2.7, 5.23333, 2.23333, -4.13431
1687.5, 1680, 71, 54.7805, 46.1598, 5.24161, 0.00905753, 0, 0, 1.22078, 0.115744, 0.46888, 0.0745541, 0.5031, 0.987023, 4.16667, 3.1, 4.7, 2.63333, 5.16667, 2.16667, -5.10452
1702.5, 1695, 34, 44.3981, 40.458, 0.51982, 0.00893796, 0, 0, 1.27524, 0.105222, 0.480727, 0.0710858, 0.483935, 0.995088, 3.43333, 2.5, 3.9, 2.1, 4.36667, 1.7, -3.9
1717.5, 1710, 31, 40.1684, 34.7527, 0.0854168, 0.00857925, 0, 0, 1.22305, 0.136788, 0.473244, 1.98594, 0.49918, 1.0035, 3.1, 2.23333, 3.56667, 1.83333, 4.03333, 1.5, -3.9
